1404.38	1372.42	-300.99
1407.57	1369.80	-317.01
1410.72	1367.14	-335.33
1413.84	1364.44	-356.40
1416.92	1361.71	-380.85
1419.98	1358.94	-409.51
1423.01	1356.14	-443.53
1426.01	1353.32	-484.53
1428.99	1350.47	-534.89
1431.95	1347.59	-598.24
1434.89	1344.70	-680.39
1437.81	1341.79	-791.28
1440.71	1338.86	-949.35
1443.60	1335.92	-1193.26
1446.48	1332.97	-1619.84
1449.36	1330.01	-2559.47
1452.22	1327.05	-6349.71
1455.09	1324.09	12044.73
1457.96	1321.13	3015.57
1460.83	1318.17	1697.42
1463.71	1315.21	1167.56
1466.60	1312.27	881.33
1469.50	1309.35	701.92
1472.42	1306.43	578.85
1475.37	1303.54	489.14
1478.33	1300.68	420.83
1481.33	1297.84	367.09
1484.35	1295.04	323.75
1487.41	1292.28	288.09
1490.51	1289.56	258.30
1493.65	1286.89	233.11
1496.84	1284.28	211.60
1500.08	1281.73	193.11
1503.38	1279.25	177.14
1506.73	1276.84	163.29
1510.14	1274.53	151.29
1513.61	1272.30	140.89
1517.14	1270.18	131.92
1520.74	1268.17	124.24
1524.41	1266.28	117.72
1528.14	1264.52	112.29
1531.93	1262.90	107.85
1535.78	1261.42	104.37
1540.00	1260.00	101.77
1543.64	1258.93	107.73
1547.64	1257.92	115.44
1551.67	1257.05	124.30
1555.72	1256.32	134.42
1559.80	1255.70	145.92
1563.89	1255.21	158.97
1568.00	1254.82	173.76
1572.11	1254.53	190.56
1576.23	1254.33	209.70
1580.35	1254.20	231.61
1584.48	1254.16	256.87
1588.60	1254.18	286.28
1592.72	1254.25	320.90
1596.84	1254.38	362.28
1600.96	1254.56	412.63
1605.08	1254.78	475.36
1609.20	1255.04	555.85
1613.31	1255.32	663.23
1617.42	1255.63	814.27
1621.53	1255.96	1043.47
1625.64	1256.31	1434.79
1629.75	1256.67	2260.01
1633.85	1257.04	5168.88
1637.96	1257.41	-19453.28
1642.07	1257.78	-3408.14
1646.17	1258.14	-1873.40
1650.28	1258.50	-1292.48
1654.39	1258.84	-985.90
1658.50	1259.16	-795.75
1662.61	1259.47	-665.83
1666.73	1259.75	-571.12
1670.84	1260.00	-498.78
1674.96	1260.21	-441.57
1679.08	1260.39	-395.09
1683.20	1260.52	-356.50
1687.33	1260.61	-323.90
1691.45	1260.64	-295.98
1695.57	1260.61	-271.80
1699.69	1260.53	-250.65
1703.82	1260.37	-232.02
1707.93	1260.14	-215.51
1710.00	1260.00	-207.96
1716.15	1259.45	-208.25
1720.25	1258.98	-208.79
1724.33	1258.43	-209.59
1728.41	1257.80	-210.66
1732.47	1257.09	-211.98
1736.52	1256.30	-213.56
1740.55	1255.43	-215.41
1744.56	1254.49	-217.51
1748.56	1253.47	-219.88
1752.53	1252.38	-222.50
1756.49	1251.21	-225.39
1760.42	1249.97	-228.54
1764.33	1248.66	-231.95
1768.21	1247.28	-235.62
